state_id,energy,oxygen,food,fuel,hull,event,energy_lvl,oxygen_lvl,food_lvl,fuel_lvl,hull_lvl,mhi,crisp_risk,status,greedy_action,greedy_qvalue,appropriate_action
0,critical/low,critical/low,critical/low,critical/low,critical/low,Normal,0,0,0,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
1,critical/low,critical/low,critical/low,critical/low,critical/low,Solar Storm,0,0,0,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
2,critical/low,critical/low,critical/low,critical/low,critical/low,Asteroid Impact,0,0,0,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
3,critical/low,critical/low,critical/low,critical/low,critical/low,Safe Zone,0,0,0,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
4,critical/low,critical/low,critical/low,critical/low,stable/mid,Normal,0,0,0,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
5,critical/low,critical/low,critical/low,critical/low,stable/mid,Solar Storm,0,0,0,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
6,critical/low,critical/low,critical/low,critical/low,stable/mid,Asteroid Impact,0,0,0,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
7,critical/low,critical/low,critical/low,critical/low,stable/mid,Safe Zone,0,0,0,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
8,critical/low,critical/low,critical/low,critical/low,optimal/high,Normal,0,0,0,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
9,critical/low,critical/low,critical/low,critical/low,optimal/high,Solar Storm,0,0,0,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
10,critical/low,critical/low,critical/low,critical/low,optimal/high,Asteroid Impact,0,0,0,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
11,critical/low,critical/low,critical/low,critical/low,optimal/high,Safe Zone,0,0,0,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
12,critical/low,critical/low,critical/low,stable/mid,critical/low,Normal,0,0,0,1,0,0.2811,2.1566,WARNING,Life Support,0.0,True
13,critical/low,critical/low,critical/low,stable/mid,critical/low,Solar Storm,0,0,0,1,0,0.2811,2.1566,WARNING,Life Support,0.0,True
14,critical/low,critical/low,critical/low,stable/mid,critical/low,Asteroid Impact,0,0,0,1,0,0.2811,2.1566,WARNING,Life Support,0.0,True
15,critical/low,critical/low,critical/low,stable/mid,critical/low,Safe Zone,0,0,0,1,0,0.2811,2.1566,WARNING,Life Support,0.0,True
16,critical/low,critical/low,critical/low,stable/mid,stable/mid,Normal,0,0,0,1,1,0.2811,2.1566,WARNING,Life Support,0.0,True
17,critical/low,critical/low,critical/low,stable/mid,stable/mid,Solar Storm,0,0,0,1,1,0.2811,2.1566,WARNING,Life Support,0.0,True
18,critical/low,critical/low,critical/low,stable/mid,stable/mid,Asteroid Impact,0,0,0,1,1,0.2811,2.1566,WARNING,Life Support,0.0,True
19,critical/low,critical/low,critical/low,stable/mid,stable/mid,Safe Zone,0,0,0,1,1,0.2811,2.1566,WARNING,Life Support,0.0,True
20,critical/low,critical/low,critical/low,stable/mid,optimal/high,Normal,0,0,0,1,2,0.2811,2.1566,WARNING,Life Support,0.0,True
21,critical/low,critical/low,critical/low,stable/mid,optimal/high,Solar Storm,0,0,0,1,2,0.2811,2.1566,WARNING,Life Support,0.0,True
22,critical/low,critical/low,critical/low,stable/mid,optimal/high,Asteroid Impact,0,0,0,1,2,0.2811,2.1566,WARNING,Life Support,0.0,True
23,critical/low,critical/low,critical/low,stable/mid,optimal/high,Safe Zone,0,0,0,1,2,0.2811,2.1566,WARNING,Life Support,0.0,True
24,critical/low,critical/low,critical/low,optimal/high,critical/low,Normal,0,0,0,2,0,0.2811,2.1566,WARNING,Life Support,0.0,True
25,critical/low,critical/low,critical/low,optimal/high,critical/low,Solar Storm,0,0,0,2,0,0.2811,2.1566,WARNING,Life Support,0.0,True
26,critical/low,critical/low,critical/low,optimal/high,critical/low,Asteroid Impact,0,0,0,2,0,0.2811,2.1566,WARNING,Life Support,0.0,True
27,critical/low,critical/low,critical/low,optimal/high,critical/low,Safe Zone,0,0,0,2,0,0.2811,2.1566,WARNING,Life Support,0.0,True
28,critical/low,critical/low,critical/low,optimal/high,stable/mid,Normal,0,0,0,2,1,0.2811,2.1566,WARNING,Life Support,0.0,True
29,critical/low,critical/low,critical/low,optimal/high,stable/mid,Solar Storm,0,0,0,2,1,0.2811,2.1566,WARNING,Life Support,0.0,True
30,critical/low,critical/low,critical/low,optimal/high,stable/mid,Asteroid Impact,0,0,0,2,1,0.2811,2.1566,WARNING,Life Support,0.0,True
31,critical/low,critical/low,critical/low,optimal/high,stable/mid,Safe Zone,0,0,0,2,1,0.2811,2.1566,WARNING,Life Support,0.0,True
32,critical/low,critical/low,critical/low,optimal/high,optimal/high,Normal,0,0,0,2,2,0.2811,2.1566,WARNING,Life Support,0.0,True
33,critical/low,critical/low,critical/low,optimal/high,optimal/high,Solar Storm,0,0,0,2,2,0.2811,2.1566,WARNING,Life Support,0.0,True
34,critical/low,critical/low,critical/low,optimal/high,optimal/high,Asteroid Impact,0,0,0,2,2,0.2811,2.1566,WARNING,Life Support,0.0,True
35,critical/low,critical/low,critical/low,optimal/high,optimal/high,Safe Zone,0,0,0,2,2,0.2811,2.1566,WARNING,Life Support,0.0,True
36,critical/low,critical/low,stable/mid,critical/low,critical/low,Normal,0,0,1,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
37,critical/low,critical/low,stable/mid,critical/low,critical/low,Solar Storm,0,0,1,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
38,critical/low,critical/low,stable/mid,critical/low,critical/low,Asteroid Impact,0,0,1,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
39,critical/low,critical/low,stable/mid,critical/low,critical/low,Safe Zone,0,0,1,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
40,critical/low,critical/low,stable/mid,critical/low,stable/mid,Normal,0,0,1,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
41,critical/low,critical/low,stable/mid,critical/low,stable/mid,Solar Storm,0,0,1,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
42,critical/low,critical/low,stable/mid,critical/low,stable/mid,Asteroid Impact,0,0,1,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
43,critical/low,critical/low,stable/mid,critical/low,stable/mid,Safe Zone,0,0,1,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
44,critical/low,critical/low,stable/mid,critical/low,optimal/high,Normal,0,0,1,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
45,critical/low,critical/low,stable/mid,critical/low,optimal/high,Solar Storm,0,0,1,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
46,critical/low,critical/low,stable/mid,critical/low,optimal/high,Asteroid Impact,0,0,1,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
47,critical/low,critical/low,stable/mid,critical/low,optimal/high,Safe Zone,0,0,1,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
48,critical/low,critical/low,stable/mid,stable/mid,critical/low,Normal,0,0,1,1,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
49,critical/low,critical/low,stable/mid,stable/mid,critical/low,Solar Storm,0,0,1,1,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
50,critical/low,critical/low,stable/mid,stable/mid,critical/low,Asteroid Impact,0,0,1,1,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
51,critical/low,critical/low,stable/mid,stable/mid,critical/low,Safe Zone,0,0,1,1,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
52,critical/low,critical/low,stable/mid,stable/mid,stable/mid,Normal,0,0,1,1,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
53,critical/low,critical/low,stable/mid,stable/mid,stable/mid,Solar Storm,0,0,1,1,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
54,critical/low,critical/low,stable/mid,stable/mid,stable/mid,Asteroid Impact,0,0,1,1,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
55,critical/low,critical/low,stable/mid,stable/mid,stable/mid,Safe Zone,0,0,1,1,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
56,critical/low,critical/low,stable/mid,stable/mid,optimal/high,Normal,0,0,1,1,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
57,critical/low,critical/low,stable/mid,stable/mid,optimal/high,Solar Storm,0,0,1,1,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
58,critical/low,critical/low,stable/mid,stable/mid,optimal/high,Asteroid Impact,0,0,1,1,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
59,critical/low,critical/low,stable/mid,stable/mid,optimal/high,Safe Zone,0,0,1,1,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
60,critical/low,critical/low,stable/mid,optimal/high,critical/low,Normal,0,0,1,2,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
61,critical/low,critical/low,stable/mid,optimal/high,critical/low,Solar Storm,0,0,1,2,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
62,critical/low,critical/low,stable/mid,optimal/high,critical/low,Asteroid Impact,0,0,1,2,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
63,critical/low,critical/low,stable/mid,optimal/high,critical/low,Safe Zone,0,0,1,2,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
64,critical/low,critical/low,stable/mid,optimal/high,stable/mid,Normal,0,0,1,2,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
