episode,reward,steps,success
1,11.0,10,1
2,5.0,16,1
3,14.0,7,1
4,9.0,12,1
5,9.0,12,1
6,7.0,14,1
7,6.0,15,1
8,6.0,15,1
9,7.0,14,1
10,10.0,11,1
11,13.0,8,1
12,14.0,7,1
13,3.0,18,1
14,5.0,16,1
15,9.0,12,1
16,6.0,15,1
17,13.0,8,1
18,9.0,12,1
19,11.0,10,1
20,13.0,8,1
21,8.0,13,1
22,7.0,14,1
23,10.0,11,1
24,11.0,10,1
25,9.0,12,1
26,6.0,15,1
27,7.0,14,1
28,12.0,9,1
29,8.0,13,1
30,10.0,11,1
31,3.0,18,1
32,7.0,14,1
33,9.0,12,1
34,8.0,13,1
35,10.0,11,1
36,8.0,13,1
37,10.0,11,1
38,9.0,12,1
39,6.0,15,1
40,9.0,12,1
41,7.0,14,1
42,9.0,12,1
43,4.0,17,1
44,5.0,16,1
45,6.0,15,1
46,9.0,12,1
47,9.0,12,1
48,6.0,15,1
49,10.0,11,1
50,4.0,17,1
51,8.0,13,1
52,10.0,11,1
53,8.0,13,1
54,7.0,14,1
55,4.0,17,1
56,8.0,13,1
57,11.0,10,1
58,8.0,13,1
59,7.0,14,1
60,5.0,16,1
61,7.0,14,1
62,11.0,10,1
63,6.0,15,1
64,8.0,13,1
65,7.0,14,1
66,9.0,12,1
67,10.0,11,1
68,9.0,12,1
69,6.0,15,1
70,9.0,12,1
71,4.0,17,1
72,6.0,15,1
73,9.0,12,1
74,11.0,10,1
75,11.0,10,1
76,9.0,12,1
77,9.0,12,1
78,10.0,11,1
79,9.0,12,1
80,9.0,12,1
81,4.0,17,1
82,5.0,16,1
83,8.0,13,1
84,11.0,10,1
85,9.0,12,1
86,5.0,16,1
87,8.0,13,1
88,6.0,15,1
89,9.0,12,1
90,12.0,9,1
91,9.0,12,1
92,6.0,15,1
93,9.0,12,1
94,10.0,11,1
95,9.0,12,1
96,11.0,10,1
97,9.0,12,1
98,6.0,15,1
99,6.0,15,1
100,8.0,13,1
