episode,reward,steps,success,invalid_actions,wrapper_penalty,wrapper_bonus,blocked_actions,useful_actions_ratio
1,17.0,13,1,0,6.0,15.0,0,1.0
2,18.5,12,1,0,5.5,15.0,0,1.0
3,21.5,10,1,0,4.5,15.0,0,1.0
4,14.0,15,1,0,7.0,15.0,0,1.0
5,24.5,8,1,0,3.5,15.0,0,1.0
6,20.0,11,1,0,5.0,15.0,0,1.0
7,15.5,14,1,0,6.5,15.0,0,1.0
8,7.5,16,1,0,7.5,10.0,0,1.0
9,20.0,11,1,0,5.0,15.0,0,1.0
10,18.5,12,1,0,5.5,15.0,0,1.0
11,7.5,16,1,0,7.5,10.0,0,1.0
12,4.5,18,1,0,8.5,10.0,0,1.0
13,15.5,14,1,0,6.5,15.0,0,1.0
14,21.5,10,1,0,4.5,15.0,0,1.0
15,4.5,18,1,0,8.5,10.0,0,1.0
16,15.5,14,1,0,6.5,15.0,0,1.0
17,17.0,13,1,0,6.0,15.0,0,1.0
18,17.0,13,1,0,6.0,15.0,0,1.0
19,20.0,11,1,0,5.0,15.0,0,1.0
20,14.0,15,1,0,7.0,15.0,0,1.0
21,21.5,10,1,0,4.5,15.0,0,1.0
22,17.0,13,1,0,6.0,15.0,0,1.0
23,21.5,10,1,0,4.5,15.0,0,1.0
24,21.5,10,1,0,4.5,15.0,0,1.0
25,17.0,13,1,0,6.0,15.0,0,1.0
26,7.5,16,1,0,7.5,10.0,0,1.0
27,14.0,15,1,0,7.0,15.0,0,1.0
28,15.5,14,1,0,6.5,15.0,0,1.0
29,18.5,12,1,0,5.5,15.0,0,1.0
30,7.5,16,1,0,7.5,10.0,0,1.0
31,17.0,13,1,0,6.0,15.0,0,1.0
32,15.5,14,1,0,6.5,15.0,0,1.0
33,20.0,11,1,0,5.0,15.0,0,1.0
34,14.0,15,1,0,7.0,15.0,0,1.0
35,24.5,8,1,0,3.5,15.0,0,1.0
36,20.0,11,1,0,5.0,15.0,0,1.0
37,20.0,11,1,0,5.0,15.0,0,1.0
38,24.5,8,1,0,3.5,15.0,0,1.0
39,6.0,17,1,0,8.0,10.0,0,1.0
40,15.5,14,1,0,6.5,15.0,0,1.0
41,14.0,15,1,0,7.0,15.0,0,1.0
42,7.5,16,1,0,7.5,10.0,0,1.0
43,17.0,13,1,0,6.0,15.0,0,1.0
44,15.5,14,1,0,6.5,15.0,0,1.0
45,17.0,13,1,0,6.0,15.0,0,1.0
46,6.0,17,1,0,8.0,10.0,0,1.0
47,20.0,11,1,0,5.0,15.0,0,1.0
48,15.5,14,1,0,6.5,15.0,0,1.0
49,18.5,12,1,0,5.5,15.0,0,1.0
50,14.0,15,1,0,7.0,15.0,0,1.0
51,6.0,17,1,0,8.0,10.0,0,1.0
52,15.5,14,1,0,6.5,15.0,0,1.0
53,18.5,12,1,0,5.5,15.0,0,1.0
54,15.5,14,1,0,6.5,15.0,0,1.0
55,15.5,14,1,0,6.5,15.0,0,1.0
56,6.0,17,1,0,8.0,10.0,0,1.0
57,15.5,14,1,0,6.5,15.0,0,1.0
58,23.0,9,1,0,4.0,15.0,0,1.0
59,17.0,13,1,0,6.0,15.0,0,1.0
60,23.0,9,1,0,4.0,15.0,0,1.0
61,7.5,16,1,0,7.5,10.0,0,1.0
62,6.0,17,1,0,8.0,10.0,0,1.0
63,18.5,12,1,0,5.5,15.0,0,1.0
64,21.5,10,1,0,4.5,15.0,0,1.0
65,21.5,10,1,0,4.5,15.0,0,1.0
66,24.5,8,1,0,3.5,15.0,0,1.0
67,7.5,16,1,0,7.5,10.0,0,1.0
68,17.0,13,1,0,6.0,15.0,0,1.0
69,7.5,16,1,0,7.5,10.0,0,1.0
70,7.5,16,1,0,7.5,10.0,0,1.0
71,20.0,11,1,0,5.0,15.0,0,1.0
72,6.0,17,1,0,8.0,10.0,0,1.0
73,17.0,13,1,0,6.0,15.0,0,1.0
74,20.0,11,1,0,5.0,15.0,0,1.0
75,20.0,11,1,0,5.0,15.0,0,1.0
76,17.0,13,1,0,6.0,15.0,0,1.0
77,15.5,14,1,0,6.5,15.0,0,1.0
78,7.5,16,1,0,7.5,10.0,0,1.0
79,18.5,12,1,0,5.5,15.0,0,1.0
80,14.0,15,1,0,7.0,15.0,0,1.0
81,17.0,13,1,0,6.0,15.0,0,1.0
82,15.5,14,1,0,6.5,15.0,0,1.0
83,17.0,13,1,0,6.0,15.0,0,1.0
84,14.0,15,1,0,7.0,15.0,0,1.0
85,21.5,10,1,0,4.5,15.0,0,1.0
86,20.0,11,1,0,5.0,15.0,0,1.0
87,14.0,15,1,0,7.0,15.0,0,1.0
88,17.0,13,1,0,6.0,15.0,0,1.0
89,15.5,14,1,0,6.5,15.0,0,1.0
90,21.5,10,1,0,4.5,15.0,0,1.0
91,23.0,9,1,0,4.0,15.0,0,1.0
92,7.5,16,1,0,7.5,10.0,0,1.0
93,26.0,7,1,0,3.0,15.0,0,1.0
94,17.0,13,1,0,6.0,15.0,0,1.0
95,17.0,13,1,0,6.0,15.0,0,1.0
96,15.5,14,1,0,6.5,15.0,0,1.0
97,15.5,14,1,0,6.5,15.0,0,1.0
98,17.0,13,1,0,6.0,15.0,0,1.0
99,7.5,16,1,0,7.5,10.0,0,1.0
100,15.5,14,1,0,6.5,15.0,0,1.0
