episode,reward,steps,success
1,179.0,50,0
2,420.0,89,1
3,-13.0,6,0
4,415.0,93,1
5,267.0,66,0
6,279.0,98,0
7,8.0,11,0
8,-13.0,9,0
9,153.0,54,0
10,15.0,36,0
11,125.0,39,0
12,405.0,78,1
13,127.0,50,0
14,69.0,31,0
15,181.0,34,0
16,-6.0,15,0
17,-6.0,13,0
18,8.0,13,0
19,186.0,73,0
20,-6.0,20,0
21,410.0,76,1
22,415.0,113,1
23,-6.0,10,0
24,60.0,19,0
25,400.0,75,1
26,27.0,19,0
27,41.0,18,0
28,420.0,96,1
29,420.0,87,1
30,405.0,72,1
31,-20.0,3,0
32,55.0,24,0
33,-13.0,5,0
34,-13.0,8,0
35,-20.0,3,0
36,160.0,45,0
37,-6.0,12,0
38,415.0,96,1
39,-20.0,4,0
40,420.0,82,1
41,317.0,70,0
42,-13.0,3,0
43,20.0,18,0
44,15.0,23,0
45,156.0,45,0
46,-1.0,26,0
47,410.0,83,1
48,410.0,105,1
49,-20.0,3,0
50,400.0,86,1
51,-8.0,9,0
52,48.0,35,0
53,176.0,40,0
54,8.0,10,0
55,415.0,76,1
56,151.0,51,0
57,195.0,58,0
58,116.0,44,0
59,410.0,87,1
60,179.0,43,0
61,-20.0,2,0
62,76.0,22,0
63,435.0,114,1
64,-13.0,12,0
65,151.0,50,0
66,-20.0,15,0
67,284.0,67,0
68,90.0,26,0
69,405.0,70,1
70,167.0,48,0
71,78.0,22,0
72,8.0,10,0
73,415.0,81,1
74,405.0,71,1
75,405.0,81,1
76,99.0,26,0
77,-13.0,5,0
78,78.0,32,0
79,242.0,67,0
80,180.0,56,0
81,415.0,104,1
82,225.0,60,0
83,-13.0,6,0
84,405.0,58,1
85,-13.0,14,0
86,-20.0,5,0
87,34.0,11,0
88,148.0,61,0
89,-20.0,8,0
90,400.0,66,1
91,8.0,9,0
92,151.0,71,0
93,-20.0,3,0
94,420.0,107,1
95,430.0,85,1
96,-13.0,10,0
97,-13.0,21,0
98,420.0,61,1
99,331.0,62,0
100,99.0,45,0
101,-13.0,7,0
102,-20.0,5,0
103,71.0,28,0
104,36.0,40,0
105,-6.0,19,0
106,34.0,42,0
107,-20.0,2,0
108,186.0,32,0
109,-8.0,8,0
110,326.0,120,0
111,109.0,24,0
112,-20.0,5,0
113,207.0,63,0
114,405.0,88,1
115,99.0,67,0
116,-6.0,18,0
117,420.0,73,1
118,-20.0,4,0
119,-13.0,4,0
120,405.0,96,1
121,-6.0,17,0
122,1.0,19,0
123,1.0,9,0
124,62.0,35,0
125,-6.0,26,0
126,219.0,59,0
127,176.0,33,0
128,125.0,27,0
129,153.0,44,0
130,420.0,60,1
131,183.0,50,0
132,92.0,57,0
133,410.0,67,1
134,420.0,86,1
135,158.0,43,0
136,-13.0,13,0
137,99.0,32,0
138,415.0,70,1
139,-6.0,11,0
140,57.0,28,0
141,-6.0,24,0
142,-20.0,3,0
143,1.0,15,0
144,254.0,73,0
145,139.0,31,0
146,55.0,16,0
147,405.0,66,1
148,296.0,76,0
149,60.0,19,0
150,280.0,67,0
151,410.0,64,1
152,-20.0,3,0
153,-20.0,6,0
154,405.0,68,1
155,-13.0,14,0
156,-13.0,8,0
157,415.0,69,1
158,29.0,56,0
159,-20.0,11,0
160,-15.0,4,0
161,184.0,43,0
162,405.0,68,1
163,415.0,92,1
164,-13.0,5,0
165,-20.0,3,0
166,15.0,15,0
167,1.0,18,0
168,167.0,61,0
169,43.0,25,0
170,-13.0,11,0
171,415.0,61,1
172,425.0,100,1
173,29.0,12,0
174,-20.0,4,0
175,43.0,40,0
176,410.0,82,1
177,62.0,53,0
178,1.0,5,0
179,244.0,87,0
180,-13.0,7,0
181,-20.0,18,0
182,-13.0,12,0
183,-6.0,10,0
184,302.0,59,0
185,69.0,32,0
186,62.0,62,0
187,181.0,53,0
188,300.0,75,0
189,415.0,63,1
190,176.0,36,0
191,-20.0,4,0
192,22.0,16,0
193,-6.0,15,0
194,20.0,16,0
195,270.0,49,0
196,74.0,26,0
197,216.0,61,0
198,111.0,32,0
199,-20.0,3,0
200,141.0,31,0
