episode,reward,steps,td_error,epsilon,success,invalid_actions,wrapper_penalty,wrapper_bonus,blocked_actions,transformed_actions,risky_action_ratio,useful_actions_ratio
1,-1029.0,200,4.530935711610004,0.9995,0,54,343.0,0.0,11,11,0.36,0.945
2,-988.5,200,4.607289635250004,0.9990002500000001,0,51,329.5,0.0,6,6,0.285,0.97
3,-1110.0,200,5.174262157500002,0.9985007498750001,0,60,370.0,0.0,15,15,0.375,0.925
4,-1164.0,200,4.973169113043086,0.9980014995000627,0,64,388.0,0.0,9,9,0.37,0.955
5,-894.0,200,3.9725244775042516,0.9975024987503127,0,44,298.0,0.0,5,5,0.245,0.975
6,-1110.0,200,4.7148892156321915,0.9970037475009376,0,60,370.0,0.0,7,7,0.34,0.965
7,-687.0,137,4.600383407492049,0.9965052456271871,1,38,239.0,10.0,7,7,0.3577,0.9489
8,-1083.0,200,4.668120312116784,0.9960069930043736,0,58,361.0,0.0,14,14,0.36,0.93
9,-1069.5,200,4.370140490683869,0.9955089895078715,0,57,356.5,0.0,14,14,0.355,0.93
10,-1123.5,200,4.909120971027452,0.9950112350131176,0,61,374.5,0.0,13,13,0.37,0.935
11,-1069.5,200,5.002658707500001,0.9945137293956111,0,57,356.5,0.0,6,6,0.32,0.97
12,-1123.5,200,4.726915002067526,0.9940164725309134,0,61,374.5,0.0,11,11,0.36,0.945
13,-948.0,200,3.4501305257945147,0.993519464294648,0,48,316.0,0.0,12,12,0.385,0.94
14,-1110.0,200,5.099611290000003,0.9930227045625007,0,60,370.0,0.0,8,8,0.35,0.96
15,-1123.5,200,4.628875524435634,0.9925261932102195,0,61,374.5,0.0,9,9,0.35,0.955
16,-907.5,200,3.474348902472488,0.9920299301136144,0,45,302.5,0.0,13,13,0.37,0.935
17,-1110.0,200,4.978683278527504,0.9915339151485576,0,60,370.0,0.0,15,15,0.375,0.925
18,-948.0,200,4.373088097500003,0.9910381481909833,0,48,316.0,0.0,6,6,0.27,0.97
19,-1083.0,200,4.531283640009001,0.990542629116888,0,58,361.0,0.0,11,11,0.345,0.945
20,-976.5,186,4.24735095033243,0.9900473578023296,1,54,335.5,10.0,11,11,0.371,0.9409
21,-1015.5,200,3.055945150718438,0.9895523341234285,0,53,338.5,0.0,7,7,0.32,0.965
22,-1042.5,200,4.745479248825005,0.9890575579563669,0,55,347.5,0.0,8,8,0.315,0.96
23,-961.5,200,4.112816740710996,0.9885630291773887,0,49,320.5,0.0,12,12,0.305,0.94
24,-1042.5,200,4.054480126272333,0.9880687476628001,0,55,347.5,0.0,9,9,0.32,0.955
25,-867.0,200,3.8236676237954494,0.9875747132889687,0,42,289.0,0.0,16,16,0.32,0.92
26,-1069.5,200,4.36325390398947,0.9870809259323243,0,57,356.5,0.0,11,11,0.34,0.945
27,-921.0,200,3.8595512984218847,0.9865873854693582,0,46,307.0,0.0,6,6,0.285,0.97
28,-1083.0,200,4.686406593610383,0.9860940917766235,0,58,361.0,0.0,14,14,0.37,0.93
29,-1056.0,200,3.760936100526595,0.9856010447307353,0,56,352.0,0.0,16,16,0.37,0.92
30,-1150.5,200,4.1441381105513395,0.98510824420837,0,63,383.5,0.0,8,8,0.355,0.96
31,-988.5,200,4.108389656767259,0.9846156900862658,0,51,329.5,0.0,8,8,0.295,0.96
32,-1015.5,200,3.738584828068468,0.9841233822412228,0,53,338.5,0.0,8,8,0.305,0.96
33,-961.5,200,3.9343562299582056,0.9836313205501022,0,49,320.5,0.0,9,9,0.29,0.955
34,-1150.5,200,4.636479871764898,0.9831395048898272,0,63,383.5,0.0,13,13,0.38,0.935
35,-934.5,200,3.7830258761588325,0.9826479351373822,0,47,311.5,0.0,5,5,0.26,0.975
36,-1096.5,200,4.469181033001128,0.9821566111698136,0,59,365.5,0.0,15,15,0.37,0.925
37,-1083.0,200,4.614238880147915,0.9816655328642288,0,58,361.0,0.0,8,8,0.335,0.96
38,-907.5,200,3.898819669101166,0.9811747000977967,0,45,302.5,0.0,11,11,0.28,0.945
39,-88.5,26,5.551153846153847,0.9806841127477479,1,6,39.5,10.0,1,1,0.3462,0.9615
40,-988.5,200,4.104920189673667,0.9801937706913741,0,51,329.5,0.0,7,7,0.305,0.965
41,-1096.5,200,4.04326140838956,0.9797036738060285,0,59,365.5,0.0,6,6,0.325,0.97
42,-1096.5,200,3.930511615032513,0.9792138219691255,0,59,365.5,0.0,7,7,0.33,0.965
43,-988.5,200,4.2979686280414695,0.978724215058141,0,51,329.5,0.0,11,11,0.31,0.945
